endereco,bairro,address,latitude,longitude,Detalhe,Obs,Status,id_h3
Rua Alcobaça,Anchieta,Rua Alcobaça - Anchieta - Rio de Janeiro,-22.826842,-43.39217,,Verificar o trecho. Onde é?,,88a8a06503fffff
"Rua Cardoso de Castro, ao lado do Supermarket",Anchieta,"Rua Cardoso de Castro, ao lado do Supermarket - Anchieta - Rio de Janeiro",-22.822446,-43.407406,,Projeto de drenagem - Fazer orçamento,,88a8a06511fffff
Rua Huron,Anchieta,Rua Huron - Anchieta - Rio de Janeiro,-22.817781,-43.39969,,Limpeza - SECONSERVA,,88a8a06515fffff
"Av. Dom Helder Câmara, em frente a Suipa",Benfica,"Av. Dom Helder Câmara, em frente a Suipa - Benfica - Rio de Janeiro",-22.883828,-43.254059,Estudo de drenagem e limpeza,Fábrica de ralos,,88a8a061edfffff
Rua Henrique Ferreira,Bento Ribeiro,Rua Henrique Ferreira - Bento Ribeiro - Rio de Janeiro,-22.862446,-43.35367,,Verificar qual o trecho da rua,,88a8a06095fffff
"Rua Bonsucesso, esquina da Rua Júlio Ribeiro até início, na esquina com Guilherme Maxwell e Regeneração.",Bonsucesso,"Rua Bonsucesso, esquina da Rua Júlio Ribeiro até início, na esquina com Guilherme Maxwell e Regeneração. - Bonsucesso - Rio de Janeiro",-22.864199,-43.24729,Bairro Maravilha - Limpeza de rede,Obras da CGO,,88a8a06ad3fffff
"Rua Carolina Machado, 88",Cascadura,"Rua Carolina Machado, 88 - Cascadura - Rio de Janeiro",-22.88017,-43.330735,Ralos entupidos e bolsão d’água,Conservação / COMLURB,,88a8a060e3fffff
Rua da Pedreira – 41,Cascadura,Rua da Pedreira – 41 - Cascadura - Rio de Janeiro,-22.883786,-43.326002,bueiro jorrando água,,Concluído,88a8a060e1fffff
Rua Sidônio Paes,Cascadura,Rua Sidônio Paes - Cascadura - Rio de Janeiro,-22.878228,-43.325463,,Diretoria de Estudos e Projetos vai avaliar,,88a8a060e7fffff
"Av. Ernani Cardoso, em frente a Light",Cascadura,"Av. Ernani Cardoso, em frente a Light - Cascadura - Rio de Janeiro",-22.882135,-43.333366,Ramal Obstruído (Não tem número. Um ralo),SECONSERVA,,88a8a060e3fffff
Avenida Ernani Cardoso X Rua Padre Telêmaco,Cascadura,Avenida Ernani Cardoso X Rua Padre Telêmaco - Cascadura - Rio de Janeiro,-22.881702,-43.330145,Ralo sem grelha,SECONSERVA,Concluído,88a8a060e3fffff
"Avenida Ernani Cardoso, 165",Cascadura,"Avenida Ernani Cardoso, 165 - Cascadura - Rio de Janeiro",-22.882681,-43.333879,Dois ralos: Uma galeria obstruída e outro com a grelha que não abre,SECONSERVA,Concluído,88a8a060e3fffff
Av. Ernani Cardoso X Rua Padre Telêmaco,Cascadura,Av. Ernani Cardoso X Rua Padre Telêmaco - Cascadura - Rio de Janeiro,-22.881702,-43.330145,,Diretoria de Estudos e Projetos vai elaborar estudo,,88a8a060e3fffff
Rua Bauru,Cascadura,Rua Bauru - Cascadura - Rio de Janeiro,-22.883882,-43.338621,,,Concluído,88a8a0608dfffff
Rua Laurindo Filho,Cavalcanti,Rua Laurindo Filho - Cavalcanti - Rio de Janeiro,-22.869447,-43.31767,,Será feito estudo - Fábrica de ralos,,88a8a060adfffff
Rua Silva Vale X Rua Tumucumaque,Cavalcanti,Rua Silva Vale X Rua Tumucumaque - Cavalcanti - Rio de Janeiro,-22.86954,-43.309951,,Fábrica de ralos,,88a8a061d3fffff
Buraco do Padre,Engenho Novo,Buraco do Padre - Engenho Novo - Rio de Janeiro,-22.902342,-43.265486,,Conservação implantou captações. Também terá atuação da Rio Águas pela Fábrica de Ralos,,88a8a0611bfffff
Rua Barão do Bom Retiro - Alt. Rua Araxá,Engenho Novo,Rua Barão do Bom Retiro - Alt. Rua Araxá - Engenho Novo - Rio de Janeiro,-22.922607,-43.262181,,Diretoria de Estudos e Projetos - Avaliar,,88a8a06151fffff
Rua Matias Aires X Rua Antônio Portela,Engenho Novo,Rua Matias Aires X Rua Antônio Portela - Engenho Novo - Rio de Janeiro,-22.909713,-43.268631,"Rio que corta a Barão do Bom Retiro. Na altura do Pedro II. De acordo com morador, o rio recebeu
 sua última limpeza há 17 anos",Limpeza do Rio Jacaré,,88a8a06025fffff
"Rua Vinte e Quatro de Maio, Alt. Rua Alzira Valdetaro",Engenho Novo e Sampaio,"Rua Vinte e Quatro de Maio, Alt. Rua Alzira Valdetaro - Engenho Novo e Sampaio - Rio de Janeiro",-22.90227,-43.261791,,Limpeza SECONSERVA,Concluído,88a8a06111fffff
"Rua Vinte e Quatro de Maio, Alt Rua Manoel Miranda",Engenho Novo e Sampaio,"Rua Vinte e Quatro de Maio, Alt Rua Manoel Miranda - Engenho Novo e Sampaio - Rio de Janeiro",-22.903919,-43.265151,,Limpeza SECONSERVA,Concluído,88a8a06119fffff
"Rua Vinte e Quatro de Maio, Alt. Rua Gregório Neves",Engenho Novo e Sampaio,"Rua Vinte e Quatro de Maio, Alt. Rua Gregório Neves - Engenho Novo e Sampaio - Rio de Janeiro",-22.904286,-43.268587,,Limpeza SECONSERVA,Verificou,88a8a0611bfffff
"Rua Vinte e Quatro de Maio, Subida do viaduto do Sampaio",Engenho Novo e Sampaio,"Rua Vinte e Quatro de Maio, Subida do viaduto do Sampaio - Engenho Novo e Sampaio - Rio de Janeiro",-22.90224,-43.26093,,Limpeza SECONSERVA,Verificou,88a8a06111fffff
Rua da Bela Vista - Alt. Rua 24 de Maio,Engenho Novo e Sampaio,Rua da Bela Vista - Alt. Rua 24 de Maio - Engenho Novo e Sampaio - Rio de Janeiro,-22.90224,-43.26093,,SECONSERVA - Verificar,,88a8a06111fffff
Largo do Jacaré ( Rua Lino Teixeira com 2 de Maio,Jacaré,Largo do Jacaré ( Rua Lino Teixeira com 2 de Maio - Jacaré - Rio de Janeiro,-22.894638,-43.262001,bolsão de água,Dragaem do Rio Jacaré,,88a8a06113fffff
Viaduto de Madureira,Madureira,Viaduto de Madureira - Madureira - Rio de Janeiro,-22.876096,-43.3348,Drenagem/bolsões,Fábrica de ralos,,88a8a06085fffff
Rua Padre Manso X Rua Domingos Lopes,Madureira,Rua Padre Manso X Rua Domingos Lopes - Madureira - Rio de Janeiro,-22.879228,-43.341298,,Diretoria de Estudos e Projetos vai elaborar estudo,,88a8a0608dfffff
"Rua São Daniel, 09",Manguinhos,"Rua São Daniel, 09 - Manguinhos - Rio de Janeiro",-22.882788,-43.25131,,Comunidade com cota mais baixa que os rios Jacaré e Faria Timbó,,88a8a061edfffff
Rua João Vicente,Marechal Hermes,Rua João Vicente - Marechal Hermes - Rio de Janeiro,-22.861104,-43.370972,,Valor da obra e projeto,,88a8a06093fffff
Estação do Méier,Méier,Estação do Méier - Méier - Rio de Janeiro,-22.9018,-43.27806,Realizar vistoria para fazer captação,Será atendido pela Fábrica de Ralos,,88a8a06027fffff
Rua Aristides Caire esquina com Rua Castro Alves.,Méier,Rua Aristides Caire esquina com Rua Castro Alves. - Méier - Rio de Janeiro,-22.897168,-43.275974,,Obra,Em andamento,88a8a061cdfffff
Rua Barão de Jacuí 140,Oswaldo Cruz,Rua Barão de Jacuí 140 - Oswaldo Cruz - Rio de Janeiro,-22.86096,-43.351142,,Diretoria de estudos e projetos vai avaliar,,88a8a060b9fffff
Av. Crisóstomo Pimentel de Oliveira - Alt. Via Light,Pavuna,Av. Crisóstomo Pimentel de Oliveira - Alt. Via Light - Pavuna - Rio de Janeiro,-22.815023,-43.388984,,,Concluído,88a8a06539fffff
"Beco da Coruja sentido Rua Idelfonso Falcão (Rua Padre Lima com Rua Francisco Menescal),
 Conjunto Colúmbia",Pavuna,"Beco da Coruja sentido Rua Idelfonso Falcão (Rua Padre Lima com Rua Francisco Menescal),
 Conjunto Colúmbia - Pavuna - Rio de Janeiro",-22.817732,-43.343842,,Obra complexa - Rio Acari,,88a8a06e19fffff
Conjunto Caçapava,Pavuna,Conjunto Caçapava - Pavuna - Rio de Janeiro,-22.813351,-43.383835,,Nome da Rua? Trecho?,,88a8a0653dfffff
Av. Crisóstomo Pimentel de Oliveira 2083 - Conjunto Falcão,Pavuna,Av. Crisóstomo Pimentel de Oliveira 2083 - Conjunto Falcão - Pavuna - Rio de Janeiro,-22.813395,-43.380588,Obras de dragagem + limpeza do Rio Pavuna,Observar a obra,,88a8a0653dfffff
Rua Mercúrio - Alt. Rua Sargento Demerval Gil,Pavuna,Rua Mercúrio - Alt. Rua Sargento Demerval Gil - Pavuna - Rio de Janeiro,-22.805388,-43.35612,Limpeza das redes (limpar o Rio Pavuna),Será feito estudo - Fábrica de ralos,,88a8a06ecdfffff
Rua Rilda de Souza - Divisa com Rua Comendador Guerra,Pavuna,Rua Rilda de Souza - Divisa com Rua Comendador Guerra - Pavuna - Rio de Janeiro,-22.810335,-43.373419,,,Obra em andamento (vala da comendador Guerra),88a8a06535fffff
Rua José Rucas - Divisa com São Dionísio,Penha,Rua José Rucas - Divisa com São Dionísio - Penha - Rio de Janeiro,-22.84432,-43.280676,Escorrimão,Limpeza,,88a8a061b1fffff
Av. Dom Hélder Câmara com Padre Manoel da Nóbrega,Piedade,Av. Dom Hélder Câmara com Padre Manoel da Nóbrega - Piedade - Rio de Janeiro,-22.885121,-43.310595,,Precisa de estudo do projeto,,88a8a061d9fffff
Rua Clarimundo de Melo - Alt. Rua Paraná,Piedade,Rua Clarimundo de Melo - Alt. Rua Paraná - Piedade - Rio de Janeiro,-22.89625,-43.31344,Entre as Ruas Assis Carneiro e LAMSA - Praça dos Garis,Serão implantadas melhorias via Fábrica de Ralos,,88a8a0603bfffff
Clarimundo de Melo - Alt. Rua Cruz e Souza,Piedade,Clarimundo de Melo - Alt. Rua Cruz e Souza - Piedade - Rio de Janeiro,-22.896953,-43.308234,,Obra da CGO,Concluído,88a8a06033fffff
"Rua Goiás, 500",Piedade,"Rua Goiás, 500 - Piedade - Rio de Janeiro",-22.891539,-43.306563,Realizar visita (com Diego),Elaborar Projeto,,88a8a06033fffff
Rua Manuel Corrêa,Piedade,Rua Manuel Corrêa - Piedade - Rio de Janeiro,-22.875793,-43.307034,"Aquele ralão que foi colocado no valão da Rua da Pedreira seria o ideal para o escoamento de água pro rio (Timbó),pois está chegando o verão e as casas novamente irão sofre com as enchentes",Onde é?,,88a8a061d1fffff
Rua João Barbalho,Quintino Bocaiuva,Rua João Barbalho - Quintino Bocaiuva - Rio de Janeiro,-22.891366,-43.319058,Vistoria e limpeza,SECONSERVA,,88a8a060edfffff
"Rua Padre Manoel da Nóbrega, 786",Quintino Bocaiuva,"Rua Padre Manoel da Nóbrega, 786 - Quintino Bocaiuva - Rio de Janeiro",-22.878993,-43.314431,,Diretoria de Estudos e Projetos vai avaliar,,88a8a061dbfffff
"Avenida Dom Helder Câmara, 9607",Quintino Bocaiuva,"Avenida Dom Helder Câmara, 9607 - Quintino Bocaiuva - Rio de Janeiro",-22.883834,-43.319983,Falta de captação,Diretoria de Estudos e Projetos vai avaliar,,88a8a060e7fffff
"Rua Goiás, 1148",Quintino Bocaiúva,"Rua Goiás, 1148 - Quintino Bocaiúva - Rio de Janeiro",-22.888148,-43.320732,Bolsão d’água e alagamento de vila,SECONSERVA executando melhorias nas captações (falta captação da vila),,88a8a060e1fffff
Rua Vital,Quintino Bocaiúva,Rua Vital - Quintino Bocaiúva - Rio de Janeiro,-22.886605,-43.318949,,Fábrica de ralos,,88a8a060e5fffff
Estr. Mal. Alencastro- Alt. Alameda dos Três Bravos n°15,Ricardo de Albuquerque,Estr. Mal. Alencastro- Alt. Alameda dos Três Bravos n°15 - Ricardo de Albuquerque - Rio de Janeiro,-22.854416,-43.390097,,Verificar a obra do muro. Onde é?,,88a8a06541fffff
"Rua Japoara, 420",Ricardo de Albuquerque,"Rua Japoara, 420 - Ricardo de Albuquerque - Rio de Janeiro",-22.839403,-43.403281,,Projeto - Elaborar orçamento,,88a8a06555fffff
Av. Amaro Cavalcanti - Alt. Estação de Eng° de Dentro,Todos os Santos,Av. Amaro Cavalcanti - Alt. Estação de Eng° de Dentro - Todos os Santos - Rio de Janeiro,-22.89581,-43.29333,,Limpeza,,88a8a06035fffff
Avenida Amaro Cavalcanti - Alt. N° 135,Todos os Santos,Avenida Amaro Cavalcanti - Alt. N° 135 - Todos os Santos - Rio de Janeiro,-22.897454,-43.285007,,Fábrica de ralos,,88a8a061c9fffff
"Rua Italia D’incau, 470",Tomás Coelho,"Rua Italia D’incau, 470 - Tomás Coelho - Rio de Janeiro",-22.87108,-43.31142,,Melhorias nas captações - Fábrica de ralos,,88a8a061d3fffff
Rua Itaquati,Tomás coelho,Rua Itaquati - Tomás coelho - Rio de Janeiro,-22.86534,-43.307964,,Melhorias nas captações - Fábrica de ralos,,88a8a06199fffff
Rua Silva Vale X Rua Limeira,Tomás Coelho,Rua Silva Vale X Rua Limeira - Tomás Coelho - Rio de Janeiro,-22.869486,-43.309874,Avaliar captação,Fábrica de ralos,,88a8a061d3fffff
Buraco do Encantado,,Buraco do Encantado -  - Rio de Janeiro,-22.895959,-43.302182,Alagamentos recorrentes em fortes chuvas,SECONSERVA está com projeto de melhorias nas captações - Vai executar,,88a8a06031fffff
Av. Ernani Cardoso,,Av. Ernani Cardoso -  - Rio de Janeiro,-22.882419,-43.33544,Limpeza de ralo,COMLURB / SECONSERVA,,88a8a0608dfffff
